,,,,,,,
CS252 Operating System Assignment Q2.24 - System call trace on Windows - Output exported as CSV,,,,,,,
,,,,,,,
#,Time of Day,Thread,Module,API,Return Value,Error,Duration
142,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000074,,0.0000001
143,1:10:43 PM,1,Code.exe,"fputc ( 0x00000074, 0x75ef4680 )",0x00000074,,0.0000001
144,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0
145,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
146,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000046,,0.0000001
147,1:10:43 PM,1,Code.exe,"fputc ( 0x00000046, 0x75ef4680 )",0x00000046,,0.0000001
148,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000072,,0.0000001
149,1:10:43 PM,1,Code.exe,"fputc ( 0x00000072, 0x75ef4680 )",0x00000072,,0
150,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
151,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0
152,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000073,,0.0000001
153,1:10:43 PM,1,Code.exe,"fputc ( 0x00000073, 0x75ef4680 )",0x00000073,,0.0000001
154,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000074,,0.0000001
155,1:10:43 PM,1,Code.exe,"fputc ( 0x00000074, 0x75ef4680 )",0x00000074,,0
156,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000000a,,0.0000001
157,1:10:43 PM,1,Code.exe,"fputc ( 0x0000000a, 0x75ef4680 )",0x0000000a,,0.0000001
158,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000000a,,0.0000001
159,1:10:43 PM,1,Code.exe,"fputc ( 0x0000000a, 0x75ef4680 )",0x0000000a,,0.0000001
160,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000057,,0.0000001
161,1:10:43 PM,1,Code.exe,"fputc ( 0x00000057, 0x75ef4680 )",0x00000057,,0.0000001
162,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000068,,0.0000001
163,1:10:43 PM,1,Code.exe,"fputc ( 0x00000068, 0x75ef4680 )",0x00000068,,0.0000001
164,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
165,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
166,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000073,,0.0000001
167,1:10:43 PM,1,Code.exe,"fputc ( 0x00000073, 0x75ef4680 )",0x00000073,,0.0000001
168,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0.0000001
169,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
170,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
171,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0
172,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000077,,0.0000002
173,1:10:43 PM,1,Code.exe,"fputc ( 0x00000077, 0x75ef4680 )",0x00000077,,0.0000001
174,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
175,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
176,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
177,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0
178,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000064,,0.0000001
179,1:10:43 PM,1,Code.exe,"fputc ( 0x00000064, 0x75ef4680 )",0x00000064,,0.0000001
180,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000073,,0.0000001
181,1:10:43 PM,1,Code.exe,"fputc ( 0x00000073, 0x75ef4680 )",0x00000073,,0.0000001
182,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
183,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
184,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000074,,0.0000001
185,1:10:43 PM,1,Code.exe,"fputc ( 0x00000074, 0x75ef4680 )",0x00000074,,0.0000001
186,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000068,,0
187,1:10:43 PM,1,Code.exe,"fputc ( 0x00000068, 0x75ef4680 )",0x00000068,,0.0000001
188,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0.0000001
189,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
190,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000073,,0
191,1:10:43 PM,1,Code.exe,"fputc ( 0x00000073, 0x75ef4680 )",0x00000073,,0.0000001
192,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0.0000001
193,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
194,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
195,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
196,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000061,,0.0000001
197,1:10:43 PM,1,Code.exe,"fputc ( 0x00000061, 0x75ef4680 )",0x00000061,,0.0000001
198,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000072,,0.0000001
199,1:10:43 PM,1,Code.exe,"fputc ( 0x00000072, 0x75ef4680 )",0x00000072,,0.0000001
200,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0.0000001
201,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
202,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000019
203,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000004
204,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000049,,0.0000003
205,1:10:43 PM,1,Code.exe,"fputc ( 0x00000049, 0x75ef4680 )",0x00000049,,0.0000003
206,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000002
207,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000002
208,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000074,,0.0000003
209,1:10:43 PM,1,Code.exe,"fputc ( 0x00000074, 0x75ef4680 )",0x00000074,,0.0000002
210,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000068,,0.0000001
211,1:10:43 PM,1,Code.exe,"fputc ( 0x00000068, 0x75ef4680 )",0x00000068,,0.0000001
212,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000069,,0.0000001
213,1:10:43 PM,1,Code.exe,"fputc ( 0x00000069, 0x75ef4680 )",0x00000069,,0.0000001
214,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006e,,0.0000001
215,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006e, 0x75ef4680 )",0x0000006e,,0.0000001
216,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006b,,0.0000001
217,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006b, 0x75ef4680 )",0x0000006b,,0.0000001
218,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
219,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
220,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000049,,0.0000001
221,1:10:43 PM,1,Code.exe,"fputc ( 0x00000049, 0x75ef4680 )",0x00000049,,0.0000001
222,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
223,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
224,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006b,,0.0000001
225,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006b, 0x75ef4680 )",0x0000006b,,0.0000001
226,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006e,,0.0000001
227,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006e, 0x75ef4680 )",0x0000006e,,0
228,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
229,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
230,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000077,,0.0000001
231,1:10:43 PM,1,Code.exe,"fputc ( 0x00000077, 0x75ef4680 )",0x00000077,,0.0000001
232,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000002e,,0.0000001
233,1:10:43 PM,1,Code.exe,"fputc ( 0x0000002e, 0x75ef4680 )",0x0000002e,,0.0000001
234,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
235,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
236,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
237,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
238,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
239,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0
240,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000000a,,0.0000001
241,1:10:43 PM,1,Code.exe,"fputc ( 0x0000000a, 0x75ef4680 )",0x0000000a,,0.0000001
242,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000048,,0.0000001
243,1:10:43 PM,1,Code.exe,"fputc ( 0x00000048, 0x75ef4680 )",0x00000048,,0.0000001
244,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000069,,0.0000001
245,1:10:43 PM,1,Code.exe,"fputc ( 0x00000069, 0x75ef4680 )",0x00000069,,0.0000001
246,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000073,,0.0000001
